mes año,dia hora,Consumo,General pozos,Pozo 3,Pozo 8,Pozo 15,Pozo 4,A y D,"Campus 8""",A7-CC,Megacentral,Planta Física,Residencias,Pozo7,Pozo11,Pozo 12,Pozo 14
junio 2022,Mier01 09:00,396,"66,095","224,454",0,0,0,0,0,0,0,0,0,0,0,0,0
junio 2022,Mier01 21:00,681,"66,160","224,485",0,0,0,0,0,0,0,0,0,0,0,0,0
junio 2022,Jue02 21:00,"1,034","66,259","224,529",0,0,0,0,0,0,0,0,0,0,0,0,0
junio 2022,Vie03 09:00,287,"66,287","224,536",0,0,0,0,0,0,0,0,0,0,0,0,0
junio 2022,Vie03 17:00,551,"66,340","224,557",0,0,0,0,0,0,0,0,0,0,0,0,0
junio 2022,Vie04 21:00,108,"66,350","224,565",0,0,0,0,0,0,0,0,0,0,0,0,0
junio 2022,Sab04 09:00,375,"66,386","224,580",0,0,0,0,0,0,0,0,0,0,0,0,0
junio 2022,Dom05 09:00,821,"66,465","224,611",0,0,0,0,0,0,0,0,0,0,0,0,0
junio 2022,Dom05 17:00,281,"66,492","224,622",0,0,0,0,0,0,0,0,0,0,0,0,0
junio 2022,Lun06 09:00,539,"66,544","224,641",0,0,0,0,0,0,0,0,0,0,0,0,0
junio 2022,mar07 9:00,"1,066","66,647","224,677",0,0,0,0,0,0,0,0,0,0,0,0,0
junio 2022,mar07 17:00,469,"66,692","224,696",0,0,0,0,0,0,0,0,0,0,0,0,0
junio 2022,mar07 21:00,258,"66,717","224,704",0,0,0,0,0,0,0,0,0,0,0,0,0
junio 2022,Mie08 09:00,257,"66,742","224,711",0,0,0,0,0,0,0,0,0,0,0,0,0
junio 2022,Mie08 21:00,791,"66,818","224,742",0,0,0,0,0,0,0,0,0,0,0,0,0
junio 2022,Jue09 09:00,324,"66,849","224,756",0,0,0,0,0,0,0,0,0,0,0,0,0
junio 2022,Jue09 21:00,740,"66,920","224,786",0,0,0,0,0,0,0,0,0,0,0,0,0
junio 2022,Vie10 09:00,321,"66,951","224,797",0,0,0,0,0,0,0,0,0,0,0,0,0
junio 2022,Vie10 21:00,648,"67,013","224,825",0,0,0,0,0,0,0,0,0,0,0,0,0
junio 2022,Sab11 09:00,352,"67,051","224,797",0,0,0,0,0,0,0,0,0,0,0,0,0
junio 2022,Lun13 09:00,"1,541","67,195","224,898",0,0,0,0,0,0,0,0,0,0,0,0,0
junio 2022,Lun13 21:00,913,"67,286","224,901",0,0,0,0,0,0,0,0,0,0,0,0,0
junio 2022,mar14 9:00,360,"67,321","224,911",0,0,0,0,0,0,0,0,0,0,0,0,0
junio 2022,mar14 21:00,481,"67,368","224,922",0,0,0,0,0,0,0,0,0,0,0,0,0
junio 2022,Mie15 09:00,230,"67,390","224,932",0,0,0,0,0,0,0,0,0,0,0,0,0
junio 2022,Mie15 21:00,860,"67,468","225,012",0,0,0,0,0,0,0,0,0,0,0,0,0
junio 2022,Jue16 21:00,"1,112","67,575","225,054",0,0,0,0,0,0,0,0,0,0,0,0,0
junio 2022,Vier17 21:00,"1,007","67,671","225,101",0,0,0,0,0,0,0,0,0,0,0,0,0
junio 2022,Sab18 15:00,618,"67,729","225,139",0,0,0,0,0,0,0,0,0,0,0,0,0
junio 2022,Lun20 09:00,"1,591","67,877","225,250",0,0,0,0,0,0,0,0,0,0,0,0,0
junio 2022,Lun20 21:00,485,"67,924","225,265",0,0,0,0,0,0,0,0,0,0,0,0,0
junio 2022,mar21 9:00,392,"67,962","225,277",0,0,0,0,0,0,0,0,0,0,0,0,0
junio 2022,mar21 21:00,468,"68,007","225,295",0,0,0,0,0,0,0,0,0,0,0,0,0
junio 2022,Mie22 09:00,150,"68,022","225,295",0,0,0,0,0,0,0,0,0,0,0,0,0
junio 2022,Mie22 21:00,608,"68,080","225,323",0,0,0,0,0,0,0,0,0,0,0,0,0
junio 2022,Jue23 09:00,468,"68,125","225,341",0,0,0,0,0,0,0,0,0,0,0,0,0
junio 2022,Jue23 21:00,513,"68,174","225,364",0,0,0,0,0,0,0,0,0,0,0,0,0
junio 2022,Vie24 09:00,312,"68,204","225,376",0,0,0,0,0,0,0,0,0,0,0,0,0
junio 2022,Vier24 21:00,535,"68,255","225,401",0,0,0,0,0,0,0,0,0,0,0,0,0
junio 2022,Sab25 09:00,299,"68,284","225,410",0,0,0,0,0,0,0,0,0,0,0,0,0
junio 2022,Sab25 15:00,169,"68,300","225,419",0,0,0,0,0,0,0,0,0,0,0,0,0
junio 2022,Dom26 09:00,346,"68,333","225,435",0,0,0,0,0,0,0,0,0,0,0,0,0
junio 2022,Dom26 17:00,125,"68,345","225,440",0,0,0,0,0,0,0,0,0,0,0,0,0
junio 2022,Lun27 21:00,889,"68,430","225,479",0,0,0,0,0,0,0,0,0,0,0,0,0
junio 2022,mar28 9:00,570,"68,485","225,499",0,0,0,0,0,0,0,0,0,0,0,0,0
junio 2022,mar28 21:00,340,"68,516","225,529",0,0,0,0,0,0,0,0,0,0,0,0,0
junio 2022,Mie29 09:00,367,"68,550","225,556",0,0,0,0,0,0,0,0,0,0,0,0,0
junio 2022,Mie29 21:00,385,"68,587","225,571",0,0,0,0,0,0,0,0,0,0,0,0,0
junio 2022,Jue30 09:00,253,"68,611","225,584",0,0,0,0,0,0,0,0,0,0,0,0,0
